org_name,commodity,inventory_qty,monthly_consumption,daily_consumption,need_45_days,days_cover,shortfall,procurement_qty,action,confidence
MTM - Spinning U2,Cotton,789559.265,1716256.057,57208.5352,2574384.086,13.8,1784824.822,1784824.822,BUY,HIGH
MSM - Spinning U1,Cotton,859628.299,1689825.905,56327.5302,2534738.857,15.3,1675110.558,1675110.558,BUY,HIGH
MTM - Spinning U6,Cotton,501237.333,1078629.295,35954.3098,1617943.943,13.9,1116706.61,1116706.61,BUY,HIGH
MTM - Spinning U5,Cotton,109214.95,283845.213,9461.5071,425767.819,11.5,316552.869,316552.869,BUY,HIGH
MTM - Spinning U1,Cotton,180438.933,230956.981,7698.566,346435.471,23.4,165996.538,165996.538,BUY,HIGH
MSL - Fibres U3,Cotton,386324.291,0.0,0.0,0.0,,0.0,0.0,MONITOR,LOW
MTM - Spinning U3,Cotton,149609.7,25061.921,835.3973,37592.881,179.1,0.0,0.0,HOLD,HIGH
MTM - Spinning U1,Fiber,235011.0,573239.45,19107.9817,859859.175,12.3,624848.175,624848.175,BUY,HIGH
MTM - Spinning U6,Fiber,228001.48,403725.2,13457.5067,605587.8,16.9,377586.32,377586.32,BUY,HIGH
MSM - Spinning U1,Fiber,161555.56,267867.873,8928.9291,401801.81,18.1,240246.25,240246.25,BUY,HIGH
MTM - Spinning U3,Fiber,31862.0,146616.32,4887.2107,219924.48,6.5,188062.48,188062.48,BUY,HIGH
MTM - Spinning U5,Fiber,304151.6,241264.0,8042.1333,361896.0,37.8,57744.4,57744.4,BUY,HIGH
MSL - Fibres U3,Fiber,398809.38,0.0,0.0,0.0,,0.0,0.0,MONITOR,LOW
MTM - Spinning U2,Fiber,79758.3,23940.0,798.0,35910.0,99.9,0.0,0.0,HOLD,HIGH
MSL - Fibres U3,Stretch Fiber,18466.56,0.0,0.0,0.0,,0.0,0.0,MONITOR,LOW
MSM - Spinning U1,Stretch Fiber,75671.537,0.0,0.0,0.0,,0.0,0.0,MONITOR,LOW
MTM - Spinning U3,Stretch Fiber,66196.52,0.0,0.0,0.0,,0.0,0.0,MONITOR,LOW
MTM - Spinning U6,Stretch Fiber,2284.281,0.0,0.0,0.0,,0.0,0.0,MONITOR,LOW
MSM - Spinning U1,Cotton Waste,52.0,0.0,0.0,0.0,,0.0,0.0,MONITOR,LOW
